time,noise level,WindSpeed at 80m,Wind Direction,power out,Rotor Speed,pitch angle
1/1/2022 0:18,45.04424709,4,197.7320058,70.1015,11.0951,-0.953
1/1/2022 0:18,44.65486511,4,197.7294744,51.7024,11.1058,-0.953
1/1/2022 0:18,44.33201369,3,197.7249622,46.6685,11.1084,-0.953
1/1/2022 0:18,43.72420094,3,197.7438015,47.6054,11.1154,-0.953
1/1/2022 0:18,43.95404393,3,197.7283197,52.6856,11.1146,-0.953
1/1/2022 0:19,44.0798959,4,197.6857381,49.0743,11.1067,-0.953
1/1/2022 0:19,43.96264862,3,197.6065082,37.3445,11.1117,-0.953
1/1/2022 0:19,44.15290396,3,197.6239707,48.7023,11.1157,-0.953
1/1/2022 0:19,43.86725048,4,197.658283,34.4505,11.0985,-0.953
1/1/2022 0:19,43.63337527,4,197.663337,16.5462,11.1062,-0.953
1/1/2022 0:19,43.71090957,4,197.6506442,22.5613,11.1186,-0.953
1/1/2022 0:20,43.61273804,4,197.6587537,41.414,11.1215,-0.953
1/1/2022 0:20,43.83845461,5,197.6571283,62.6921,11.1215,-0.953
1/1/2022 0:20,43.77265661,6,197.6478641,62.7372,11.1081,-0.953
1/1/2022 0:20,43.80406445,5,197.6518433,53.0288,11.108,-0.953
1/1/2022 0:20,44.04518849,5,197.6534421,89.6488,11.1317,-0.953
1/1/2022 0:20,44.21005905,5,197.6454214,127.8086,11.1157,-0.953
1/1/2022 0:21,44.18238265,4,197.6534865,131.1179,11.1079,-0.953
1/1/2022 0:21,44.53413934,4,197.6425347,132.5695,11.1207,-1.1253
1/1/2022 0:21,45.06164588,5,197.6514436,152.4904,11.2083,-2.0888
1/1/2022 0:21,44.84147596,5,197.6473222,145.7304,11.2225,-2.089
1/1/2022 0:21,44.97892195,5,197.6465939,136.9945,11.1652,-2.089
1/1/2022 0:21,44.63234458,4,197.6374896,145.9622,11.2173,-2.089
1/1/2022 0:22,44.49689761,4,197.6477219,145.7175,11.2422,-2.089
1/1/2022 0:22,44.31143648,5,197.6518788,142.5332,11.2446,-2.089
1/1/2022 0:22,44.09628938,5,197.6438226,113.2519,11.1185,-2.089
1/1/2022 0:22,43.96811648,4,197.6430854,92.3694,11.1088,-2.089
1/1/2022 0:22,43.93589608,4,197.6387242,88.18,11.1058,-2.089
1/1/2022 0:22,44.1606475,4,197.6380847,87.6671,11.1109,-2.089
1/1/2022 0:23,44.05716877,4,197.6349137,84.3735,11.1132,-1.0656
1/1/2022 0:23,43.89029229,5,197.6414866,95.6821,11.1156,-0.878
1/1/2022 0:23,43.93603767,5,197.6447464,91.371,11.1108,-0.878
1/1/2022 0:23,44.18959928,5,197.6300906,96.025,11.1181,-0.878
1/1/2022 0:23,44.09981315,5,197.6346739,108.6175,11.1148,-0.878
1/1/2022 0:23,44.50808758,5,197.6350114,102.4409,11.1105,-0.878
1/1/2022 0:24,44.40048229,5,197.635269,101.719,11.1113,-0.878
1/1/2022 0:24,45.14738647,5,197.6280743,117.5283,11.1199,-0.878
1/1/2022 0:24,45.41368504,5,197.6463274,128.7302,11.1174,-1.6838
1/1/2022 0:24,44.56726601,5,197.6298064,116.9537,11.1026,-2.01
1/1/2022 0:24,45.67462848,5,197.6273815,122.0616,11.1152,-2.01
1/1/2022 0:24,46.06782848,4,197.6381824,129.8894,11.1177,-2.01
1/1/2022 0:25,44.9822106,5,197.6383867,106.8227,11.0976,-2.01
1/1/2022 0:25,44.68233522,6,197.6365036,112.636,11.117,-2.01
1/1/2022 0:25,44.63587824,5,197.6336613,101.2634,11.1014,-2.01
1/1/2022 0:25,44.32443708,5,197.6275148,105.4832,11.1218,-2.01
1/1/2022 0:25,44.83817147,5,197.6343896,121.0796,11.1163,-2.01
1/1/2022 0:25,44.97094587,5,197.6388308,122.8206,11.1103,-2.01
1/1/2022 0:26,45.27317468,5,197.6328974,135.3338,11.1276,-2.01
1/1/2022 0:26,45.10829221,4,197.6373741,133.142,11.114,-2.01
1/1/2022 0:26,45.80457887,5,197.6328352,121.3377,11.1056,-2.01
1/1/2022 0:26,45.86935571,5,197.6300995,99.5097,11.0953,-2.01
1/1/2022 0:26,46.34839054,5,197.6377294,77.808,11.1045,-2.01
1/1/2022 0:26,46.58870122,5,197.6357486,105.647,11.1249,-2.01
1/1/2022 0:27,47.01911046,4,197.6414422,125.2419,11.1164,-2.01
1/1/2022 0:27,46.48663403,6,197.6311654,108.1495,11.0979,-2.01
1/1/2022 0:27,46.76183359,5,197.6280033,99.9744,11.1086,-2.01
1/1/2022 0:27,45.51994132,6,197.6390884,92.7984,11.107,-2.01
1/1/2022 0:27,44.99952523,5,197.6313874,76.4866,11.1044,-2.01
1/1/2022 0:27,45.16815671,5,197.6238286,111.8123,11.1311,-2.01
1/1/2022 0:28,45.46692121,5,197.6437249,123.3977,11.108,-2.01
1/1/2022 0:28,45.38167791,5,197.6447286,111.2044,11.0932,-2.01
1/1/2022 0:28,44.9630375,4,197.6435828,66.3679,11.0913,-2.01
1/1/2022 0:28,44.91632444,4,197.6373919,59.5099,11.1112,-2.01
1/1/2022 0:28,44.39861927,5,197.6254363,78.3035,11.1238,-1.7346
1/1/2022 0:28,44.58050361,4,197.6385377,117.4376,11.1264,-0.819
1/1/2022 0:29,44.41805779,5,197.6375429,111.6201,11.0882,-0.819
1/1/2022 0:29,44.69269207,6,197.6439292,113.7262,11.1168,-0.819
1/1/2022 0:29,45.45571977,6,197.6394881,143.6611,11.1657,-0.819
1/1/2022 0:29,46.42945467,6,197.640776,162.9939,11.2854,-1.6507
1/1/2022 0:29,45.94854151,5,197.6213149,184.8817,11.4704,-2.103
1/1/2022 0:29,46.07516164,6,197.6335547,206.5126,11.7039,-2.103
1/1/2022 0:30,45.75181847,5,197.6330751,198.3139,11.8279,-2.103
1/1/2022 0:30,45.58174638,6,197.6351002,174.8248,11.825,-2.103
1/1/2022 0:30,45.32425933,6,197.6360506,159.3934,11.7361,-2.103
1/1/2022 0:30,45.30379679,6,197.6347982,158.6433,11.712,-2.103
1/1/2022 0:30,44.99348936,6,197.6445243,159.8355,11.7292,-2.103
1/1/2022 0:30,45.25097344,6,197.6424992,165.0456,11.756,-2.103
1/1/2022 0:31,45.55797812,5,197.6329951,183.6525,11.87,-2.103
1/1/2022 0:31,45.52265474,6,197.6326221,185.7946,11.9431,-2.103
1/1/2022 0:31,45.86359657,5,197.6395147,182.2666,11.983,-2.103
1/1/2022 0:31,46.13723892,5,197.639266,173.9731,11.9833,-2.103
1/1/2022 0:31,50.51297444,5,197.6264134,169.1732,11.9643,-2.103
1/1/2022 0:31,51.57849294,6,197.6360417,161.6071,11.7967,-2.103
1/1/2022 0:32,51.06807674,5,197.6259071,153.3702,11.5898,-2.103
1/1/2022 0:32,47.07058385,5,197.6387864,147.243,11.4355,-2.103
1/1/2022 0:32,46.22184762,5,197.6288205,152.0668,11.4751,-2.103
1/1/2022 0:32,46.17836117,5,197.6415221,166.595,11.5836,-2.103
1/1/2022 0:32,45.43278807,5,197.6328175,155.7395,11.5595,-2.103
1/1/2022 0:32,44.53968006,5,197.6449151,140.8938,11.2784,-2.103
1/1/2022 0:33,44.56283125,4,197.6295222,134.5224,11.1262,-2.103
1/1/2022 0:33,44.47548139,4,197.638289,125.1923,11.1098,-2.103
1/1/2022 0:33,44.00454193,4,197.6331639,95.0144,11.0965,-2.103
1/1/2022 0:33,44.09353133,5,197.6300551,86.4243,11.1108,-2.103
1/1/2022 0:33,44.32283337,5,197.6452083,94.6265,11.1159,-2.103
1/1/2022 0:33,44.21943003,5,197.6334659,84.2691,11.1054,-1.4621
1/1/2022 0:34,43.96083412,5,197.6193431,84.6043,11.119,-0.915
1/1/2022 0:34,44.1481511,5,197.642588,103.0002,11.1209,-0.915
1/1/2022 0:34,43.87796477,4,197.6341587,107.2449,11.1104,-0.915
1/1/2022 0:34,44.52226123,4,197.6219811,89.654,11.1048,-0.915
1/1/2022 0:34,43.83736722,5,197.6189256,95.7669,11.1141,-0.915
1/1/2022 0:34,43.73050698,5,197.6414866,71.9887,11.0885,-0.915
1/1/2022 0:35,44.04791978,5,197.6257916,66.5502,11.1177,-0.915
1/1/2022 0:35,43.85592748,5,197.6384488,61.7137,11.1049,-0.915
1/1/2022 0:35,44.10247494,5,197.6402431,75.5942,11.127,-0.915
1/1/2022 0:35,44.17990339,5,197.629682,110.8711,11.1202,-0.915
1/1/2022 0:35,44.05771349,5,197.6239086,116.7869,11.1141,-0.915
